pais,codigo_pais,anio,indicador,valor
Mexico,MEX,2011,tasa_finalizacion_primaria,
Mexico,MEX,2011,tasa_finalizacion_secundaria,
Mexico,MEX,2011,tasa_alfabetizacion_adultos,93.51998
Spain,ESP,2011,gasto_educacion_pib,4.89692
Spain,ESP,2011,tasa_finalizacion_primaria,
Spain,ESP,2011,tasa_finalizacion_secundaria,90.36
Spain,ESP,2011,tasa_alfabetizacion_adultos,97.78375
Viet Nam,VNM,2011,gasto_educacion_pib,4.81372
Viet Nam,VNM,2011,tasa_finalizacion_primaria,95.5281
Viet Nam,VNM,2011,tasa_finalizacion_secundaria,80.54251
Viet Nam,VNM,2011,tasa_alfabetizacion_adultos,
United States,USA,2011,gasto_educacion_pib,
United States,USA,2011,tasa_finalizacion_primaria,
United States,USA,2011,tasa_finalizacion_secundaria,
United States,USA,2011,tasa_alfabetizacion_adultos,
Uruguay,URY,2011,gasto_educacion_pib,4.35527
Uruguay,URY,2011,tasa_finalizacion_primaria,97.0
Uruguay,URY,2011,tasa_finalizacion_secundaria,64.7
